4645,5340,23,33
4669,5347,18,24
4619,5151,36,44
4336,4456,34,44
4585,5023,28,36
3508,3681,23,34
4508,4850,29,41
4372,4557,29,41
3573,3825,24,33
4442,4723,26,34
4515,4768,36,48
3288,3437,18,33
2374,2204,23,32
4565,4808,26,36
2875,2818,17,31
4415,4629,41,50
4436,4541,29,35
4346,4432,26,34
3812,3867,28,37
2234,2343,15,16
4413,4401,29,48
4276,4280,28,39
3277,3221,31,39
1735,1729,14,25
3403,3399,22,32
3855,3890,28,38
2034,2110,12,15
3120,3249,30,37
3506,3566,20,34
1834,1808,8,14
4406,4403,34,42
4333,4213,45,56
4418,4416,46,56
3852,3798,23,35
4446,4507,33,42
2559,2506,20,24
4426,4382,32,40
1446,1427,11,13
1717,1783,7,10
2177,2160,11,15
4323,4359,40,55
2050,2103,12,15
2473,2467,12,15
4394,4425,39,48
1258,1177,12,15
3625,3573,24,35
4249,4028,36,40
3200,3164,30,39
4447,4266,32,41
3688,3448,37,49
2269,2121,20,26
4516,4329,38,50
4449,4424,34,44
4365,4125,39,53
3447,3266,21,33
4339,4070,33,42
2222,2049,21,27
2346,2296,16,23
3701,3568,39,50
2097,1915,16,25
4545,4515,36,43
2100,2067,9,13
4467,4373,39,49
1994,1862,15,21
3469,3360,22,32
4514,4390,38,47
4152,4095,31,37
3945,3824,30,39
3359,3416,17,25
2987,2826,24,28
2072,2082,10,13
4336,4087,29,36
4614,4601,32,46
4382,4049,45,51
3890,3667,42,55
2558,2661,17,20
3530,3297,34,45
3509,3273,23,40
4667,4638,33,40
3007,3022,14,20
2418,2418,20,25
3463,3161,34,41
3770,3580,31,46
1177,1083,6,9
3119,3153,14,20
3326,3017,27,40
2811,2522,26,36
4467,4145,19,32
2903,2636,29,45
3365,3060,30,39
3949,3978,28,37
3480,3311,34,46
2337,2168,17,24
4523,4396,33,48
2675,2616,26,31
4537,4281,31,43
3292,3057,16,26
3255,3180,18,23
4460,4255,31,41
4534,4280,35,41
4454,4165,36,46
4460,4297,35,43
4550,4397,29,38
3285,3246,21,33
3934,3755,35,48
1415,1212,11,18
3868,3717,29,41
3862,3766,19,27
2536,2348,16,28
3303,3152,27,33
4340,3979,29,42
4115,3641,37,46
3615,3295,30,39
1784,1662,12,18
2100,1956,18,23
1692,1578,9,12
3142,3061,11,15
3490,3337,22,27
4615,4574,29,40
3213,2928,21,29
3446,3443,20,29
3264,3215,24,32
2821,2615,27,34
4722,4682,34,43
4598,4491,34,50
3470,3323,21,37
3177,3209,21,25
4701,4700,23,31
4326,4027,23,32
